date,TMAX,TMIN,PRCP,SNOW,AWND
2025-01-01,49.4,39.1,0.555,0.0,16.2
2025-01-02,41.0,33.1,0.028,0.0,22.6
2025-01-03,35.9,29.1,0.0,0.0,18.7
2025-01-04,29.5,25.0,0.0,0.0,16.1
2025-01-05,32.5,21.7,0.0,0.0,18.8
2025-01-06,28.6,17.6,0.0,0.0,11.9
2025-01-07,25.4,15.6,0.0,0.0,18.6
2025-01-08,26.4,16.5,0.0,0.0,19.0
2025-01-09,23.9,16.7,0.028,0.193,16.9
2025-01-10,36.9,23.3,0.0,0.0,14.8
2025-01-11,30.8,26.1,0.106,0.744,10.1
2025-01-12,34.8,23.3,0.0,0.0,11.4
2025-01-13,41.5,23.1,0.0,0.0,10.3
2025-01-14,32.0,23.2,0.0,0.0,15.4
2025-01-15,27.8,20.9,0.0,0.0,12.9
2025-01-16,31.2,16.1,0.0,0.0,7.4
2025-01-17,35.3,18.3,0.004,0.055,7.4
2025-01-18,44.1,26.2,0.295,0.0,14.4
2025-01-19,43.1,31.0,0.335,1.874,11.7
2025-01-20,29.5,12.2,0.134,0.937,15.1
2025-01-21,17.7,4.5,0.0,0.0,7.3
2025-01-22,17.6,1.8,0.0,0.0,6.5
2025-01-23,27.8,5.2,0.0,0.0,9.0
2025-01-24,29.9,13.8,0.0,0.0,7.5
2025-01-25,27.4,8.0,0.0,0.0,11.4
2025-01-26,37.3,20.9,0.0,0.0,14.0
2025-01-27,34.6,19.1,0.0,0.0,16.4
2025-01-28,36.2,22.1,0.008,0.055,19.2
2025-01-29,42.6,22.0,0.087,0.606,18.4
2025-01-30,27.0,15.7,0.012,0.083,13.0
2025-01-31,39.7,22.3,0.508,0.0,12.1
2025-02-01,33.1,13.8,0.15,0.524,13.2
2025-02-02,28.1,5.7,0.004,0.028,10.4
2025-02-03,39.6,23.6,0.118,0.799,12.9
2025-02-04,41.9,22.9,0.008,0.0,15.0
2025-02-05,25.3,14.4,0.0,0.0,10.3
2025-02-06,34.0,17.4,0.295,1.681,8.8
2025-02-07,36.7,22.8,0.0,0.0,15.8
2025-02-08,32.5,18.1,0.012,0.083,6.9
2025-02-09,29.2,23.6,0.52,3.61,11.3
2025-02-10,31.0,18.5,0.0,0.0,8.7
2025-02-11,30.1,7.7,0.0,0.0,8.5
2025-02-12,32.3,17.9,0.012,0.083,12.0
2025-02-13,38.7,31.8,0.382,0.854,19.8
2025-02-14,30.3,20.2,0.0,0.0,15.8
2025-02-15,28.5,10.4,0.11,0.772,6.1
2025-02-16,36.9,24.8,1.488,3.362,17.5
2025-02-17,32.3,18.4,0.004,0.028,24.8
2025-02-18,20.5,12.1,0.0,0.0,20.5
2025-02-19,26.0,8.4,0.0,0.0,12.1
2025-02-20,27.2,8.9,0.0,0.0,10.2
2025-02-21,28.4,18.7,0.0,0.0,13.2
2025-02-22,32.6,11.6,0.0,0.0,11.3
2025-02-23,39.6,24.7,0.0,0.0,10.6
2025-02-24,42.2,18.8,0.0,0.0,12.8
2025-02-25,52.5,36.9,0.012,0.0,13.0
2025-02-26,50.0,35.2,0.0,0.0,13.5
2025-02-27,51.9,31.3,0.197,0.138,13.4
2025-02-28,44.3,33.3,0.0,0.0,15.7
2025-03-01,50.6,26.1,0.035,0.0,17.7
2025-03-02,25.7,12.0,0.0,0.0,14.2
2025-03-03,31.1,10.4,0.0,0.0,8.9
2025-03-04,48.8,25.5,0.0,0.0,14.1
2025-03-05,54.2,42.1,0.169,0.0,16.2
2025-03-06,59.4,38.0,0.343,0.0,19.8
2025-03-07,40.9,23.3,0.0,0.0,23.9
2025-03-08,39.2,29.6,0.0,0.0,20.8
2025-03-09,44.1,26.6,0.0,0.0,16.3
2025-03-10,56.8,32.1,0.0,0.0,12.4
2025-03-11,58.6,34.4,0.0,0.0,12.7
2025-03-12,47.3,32.7,0.004,0.0,11.4
2025-03-13,43.2,33.1,0.004,0.028,11.0
2025-03-14,49.4,35.1,0.0,0.0,5.5
2025-03-15,55.3,35.3,0.0,0.0,10.1
2025-03-16,66.1,46.3,0.004,0.0,17.3
2025-03-17,57.9,41.7,1.654,0.0,21.5
2025-03-18,48.6,36.5,0.012,0.0,12.1
